id,tagged_sentence
32,"[('The', 'AT'), ('Artkino', 'JJ'), ('presentation', 'NN'), (',', ','), ('with', 'IN'), ('English', 'JJ'), ('titles', 'NN'), (',', ','), ('opened', 'VB'), ('on', 'IN'), ('Saturday', 'NR'), ('at', 'IN'), ('the', 'AT'), ('Cameo', 'JJ'), ('Theatre', 'NN'), ('.', '.')]"
36,"[('Arlene', 'NP'), ('was', 'BE'), ('boosting', 'VB'), ('them', 'PP'), ('up', 'RP'), ('when', 'WR'), ('the', 'AT'), ('policeman', 'NN'), ('came', 'VB'), ('by', 'IN'), ('.', '.')]"
37,"[('In', 'IN'), ('many', 'AP'), ('localities', 'NN'), (',', ','), ('now', 'RB'), (',', ','), ('the', 'AT'), ('law', 'NN'), ('requires', 'VB'), ('all', 'AB'), ('pools', 'NN'), ('to', 'TO'), ('be', 'BE'), ('fenced', 'VB'), (',', ','), ('usually', 'RB'), ('to', 'IN'), ('a', 'AT'), ('minimum', 'JJ'), ('height', 'NN'), ('of', 'IN'), ('5', 'CD'), ('feet', 'NN'), ('.', '.')]"
44,"[('Finally', 'RB'), ('he', 'PP'), ('learned', 'VB'), ('through', 'IN'), ('the', 'AT'), ('grapevine', 'NN'), ('that', 'CS'), ('the', 'AT'), ('culprit', 'NN'), ('might', 'MD'), ('be', 'BE'), ('one', 'CD'), ('James', 'NP'), ('W.', 'NP'), ('Robinson', 'NP'), ('in', 'IN'), ('Pope', 'NN'), ('County', 'NN'), ('.', '.')]"
45,"[('Do', 'DO'), ('you', 'PP'), ('yearn', 'VB'), ('to', 'TO'), ('make', 'VB'), ('cakes', 'NN'), ('and', 'CC'), ('pies', 'NN'), (',', ','), ('or', 'CC'), ('special', 'JJ'), ('cookies', 'NN'), ('and', 'CC'), ('candies', 'NN'), ('?', '.'), ('?', '.')]"
48,"[('Aids', 'NN'), ('in', 'IN'), ('preventing', 'VB'), ('foamy', 'JJ'), ('bloat', 'NN'), ('.', '.')]"
50,"[('One', 'PN'), ('had', 'HV'), ('it', 'PP'), ('that', 'CS'), ('a', 'AT'), ('friend', 'NN'), (',', ','), ('protesting', 'VB'), ('her', 'PP'), ('snobbery', 'NN'), (',', ','), ('said', 'VB'), (',', ','), ('``', '``'), ('But', 'CC'), (',', ','), ('Gracie', 'NP'), (',', ','), ('you', 'PP'), ('are', 'BE'), ('an', 'AT'), ('American', 'JJ'), (',', ','), (""aren't"", 'BE'), ('you', 'PP'), (""''"", ""''""), ('?', '.'), ('?', '.')]"
52,"[('She', 'PP'), ('was', 'BE'), ('then', 'RB'), ('trained', 'VB'), ('on', 'IN'), ('the', 'AT'), ('trot', 'NN'), ('until', 'IN'), ('December', 'NP'), ('29', 'CD'), (',', ','), ('hitched', 'VB'), ('to', 'IN'), ('a', 'AT'), ('breaking', 'NN'), ('cart', 'NN'), ('once', 'RB'), ('around', 'IN'), ('the', 'AT'), ('half-mile', 'NN'), ('track', 'NN'), ('and', 'CC'), ('hoppled', 'VB'), ('again', 'RB'), ('.', '.')]"
56,"[('But', 'CC'), ('Mr.', 'NP'), ('Buckley', 'NP'), ('seems', 'VB'), ('to', 'TO'), ('have', 'HV'), ('assumed', 'VB'), ('he', 'PP'), ('would', 'MD'), ('be', 'BE'), ('given', 'VB'), ('the', 'AT'), ('right', 'NN'), ('to', 'TO'), ('pick', 'VB'), ('Mr.', 'NP'), (""Gerosa's"", 'NP'), ('successor', 'NN'), ('.', '.')]"
58,"[('``', '``'), ('Pedersen', 'NP'), (""''"", ""''""), ('?', '.'), ('?', '.')]"
60,"[('Will', 'MD'), ('your', 'PP'), ('union', 'NN'), ('accept', 'VB'), ('seniority', 'NN'), ('concessions', 'NN'), ('in', 'IN'), ('assigning', 'VB'), ('work', 'NN'), ('for', 'IN'), ('older', 'JJ'), ('or', 'CC'), ('disabled', 'VB'), ('employees', 'NN'), ('?', '.'), ('?', '.')]"
61,"[('Erected', 'NN'), ('on', 'IN'), ('the', 'AT'), ('site', 'NN'), ('of', 'IN'), ('pagan', 'AT'), ('temples', 'NN'), ('and', 'CC'), ('three', 'CD'), ('previous', 'JJ'), ('St.', 'NN'), ('Sophias', 'NN'), (',', ','), ('the', 'AT'), ('first', 'OD'), ('of', 'IN'), ('which', 'WD'), ('was', 'BE'), ('begun', 'VB'), ('by', 'IN'), ('Constantine', 'NP'), (',', ','), ('this', 'DT'), ('fourth', 'OD'), ('church', 'NN'), ('was', 'BE'), ('started', 'VB'), ('by', 'IN'), ('Justinian', 'NP'), ('in', 'IN'), ('532', 'NN'), ('and', 'CC'), ('completed', 'VB'), ('twenty', 'CD'), ('years', 'NN'), ('later', 'RB'), ('.', '.')]"
65,"[('We', 'PP'), ('have', 'HV'), ('consoled', 'VB'), ('ourselves', 'PP'), ('with', 'IN'), ('the', 'AT'), ('thought', 'NN'), ('that', 'CS'), ('this', 'DT'), ('is', 'BE'), ('a', 'AT'), ('normal', 'JJ'), ('human', 'JJ'), ('reaction', 'NN'), ('and', 'CC'), ('is', 'BE'), ('one', 'CD'), ('of', 'IN'), ('the', 'AT'), ('consequences', 'NN'), ('of', 'IN'), ('any', 'DT'), ('decision', 'NN'), ('in', 'IN'), ('an', 'AT'), ('adversary', 'NN'), ('proceeding', 'NN'), ('.', '.')]"
68,"[('Wound-tumor', 'NN'), ('virus', 'NN'), ('is', 'BE'), ('a', 'AT'), ('leafhopper', 'NN'), ('transmitted', 'VB'), ('virus', 'NN'), ('not', '*'), ('easily', 'RB'), ('transmissible', 'VB'), ('by', 'IN'), ('mechanical', 'JJ'), ('inoculation', 'NN'), ('(', '('), ('Black', 'NP'), (',', ','), ('1944', 'CD'), (';', '.'), (';', '.')]"
69,"[('The', 'AT'), ('structure', 'NN'), ('appears', 'VB'), ('to', 'TO'), ('be', 'BE'), ('unique', 'JJ'), ('among', 'IN'), ('OOH', 'AT'), ('compounds', 'NN'), (',', ','), ('but', 'CC'), ('is', 'BE'), ('the', 'AT'), ('same', 'AP'), ('as', 'CS'), ('that', 'CS'), ('assumed', 'VB'), ('by', 'IN'), ('Af', 'NN'), ('.', '.')]"
70,"[('Production', 'NN'), ('must', 'MD'), ('be', 'BE'), ('adjusted', 'VB'), ('accordingly', 'RB'), (',', ','), ('at', 'IN'), ('minimum', 'JJ'), ('cost', 'NN'), ('and', 'CC'), ('quickly', 'RB'), ('.', '.')]"
71,"[('In', 'IN'), ('the', 'AT'), ('winter', 'NN'), (',', ','), ('hibachi', 'NN'), ('in', 'IN'), ('the', 'AT'), ('kitchen', 'NN'), ('or', 'CC'), ('grill', 'NN'), ('over', 'IN'), ('the', 'AT'), ('logs', 'NN'), ('of', 'IN'), ('the', 'AT'), ('fireplace', 'NN'), ('.', '.')]"
72,"[('These', 'DT'), ('have', 'HV'), ('an', 'AT'), ('upper-middle-class', 'NN'), ('leadership', 'NN'), ('and', 'CC'), ('a', 'AT'), ('middle-class', 'NN'), ('membership', 'NN'), (',', ','), ('with', 'IN'), ('rare', 'JJ'), ('exceptions', 'NN'), (',', ','), ('where', 'WR'), ('working-class', 'NN'), ('parents', 'NN'), ('are', 'BE'), ('active', 'JJ'), ('in', 'IN'), ('local', 'JJ'), ('P.-T.A.', 'NN'), ('matters', 'NN'), ('.', '.')]"
77,"[('Her', 'PP'), ('little', 'JJ'), ('brown', 'JJ'), ('face', 'NN'), ('wrinkled', 'VB'), ('up', 'RP'), (',', ','), ('her', 'PP'), ('brown', 'JJ'), ('eyes', 'NN'), ('gleamed', 'VB'), (',', ','), ('and', 'CC'), ('with', 'IN'), ('her', 'PP'), ('little', 'JJ'), ('gestures', 'NN'), ('she', 'PP'), ('said', 'VB'), ('all', 'AB'), ('the', 'AT'), ('courteous', 'JJ'), ('things', 'NN'), ('.', '.')]"
78,"[('But', 'CC'), ('further', 'JJ'), ('thought', 'NN'), ('brings', 'VB'), ('the', 'AT'), ('shuddery', 'JJ'), ('visions', 'NN'), ('of', 'IN'), ('a', 'AT'), (""governor's"", 'NN'), ('race', 'NN'), ('being', 'BE'), ('run', 'VB'), ('in', 'IN'), ('the', 'AT'), ('next', 'AP'), ('Legislature', 'NN'), (',', ','), ('the', 'AT'), ('spectre', 'NN'), ('of', 'IN'), ('big', 'JJ'), ('spending', 'NN'), ('programs', 'NN'), (',', ','), ('the', 'AT'), ('ooze', 'VB'), ('of', 'IN'), ('mudslinging', 'NN'), ('before', 'IN'), ('the', 'AT'), ('campaign', 'NN'), ('should', 'MD'), ('even', 'RB'), ('begin', 'VB'), ('.', '.')]"
79,"[('that', 'CS'), ('there', 'EX'), ('were', 'BE'), ('three', 'CD'), ('children', 'NN'), (',', ','), ('two', 'CD'), ('boys', 'NN'), ('and', 'CC'), ('a', 'AT'), ('girl', 'NN'), (';', '.'), (';', '.')]"
80,"[('Their', 'PP'), ('seeds', 'NN'), ('produce', 'VB'), ('vigorous', 'JJ'), ('blooming', 'NN'), ('plants', 'NN'), ('half', 'NN'), ('again', 'RB'), ('the', 'AT'), ('size', 'NN'), ('of', 'IN'), ('the', 'AT'), ('unimproved', 'JJ'), ('strains', 'NN'), ('.', '.')]"
82,"[('Roads', 'NN'), ('and', 'CC'), ('trails', 'NN')]"
84,"[('Hell', 'UH'), (',', ','), ('I', 'PP'), ('gave', 'VB'), ('him', 'PP'), ('the', 'AT'), ('first', 'OD'), ('decent', 'JJ'), ('job', 'NN'), ('he', 'PP'), ('ever', 'RB'), ('had', 'HV'), (',', ','), ('six', 'CD'), (',', ','), ('seven', 'CD'), ('--', '--'), ('how', 'WR'), ('many', 'AP'), ('years', 'NN'), ('ago', 'RB'), ('was', 'BE'), ('it', 'PP'), (',', ','), ('Rob', 'NP'), (""''"", ""''""), ('?', '.'), ('?', '.')]"
85,"[('Alaska', 'NP'), ('and', 'CC'), ('Hawaii', 'NP'), ('.', '.')]"
86,"[('He', 'PP'), ('fisted', 'VB'), ('the', 'AT'), ('knife', 'NN'), ('overhand', 'JJ'), (',', ','), ('and', 'CC'), ('drew', 'VB'), ('back', 'RB'), ('to', 'IN'), ('plunge', 'NN'), ('it', 'PP'), ('into', 'IN'), ('the', 'AT'), (""kid's"", 'NN'), ('throat', 'NN'), ('.', '.')]"
90,"[('It', 'PP'), ('was', 'BE'), (',', ','), ('to', 'IN'), ('Helva', 'NP'), (',', ','), ('only', 'RB'), ('a', 'AT'), ('matter', 'NN'), ('of', 'IN'), ('the', 'AT'), ('correct', 'JJ'), ('reproduction', 'NN'), ('and', 'CC'), ('diaphragmic', 'AT'), ('control', 'NN'), ('required', 'VB'), ('by', 'IN'), ('the', 'AT'), ('music', 'NN'), ('attempted', 'VB'), ('.', '.')]"
91,"[('Our', 'PP'), ('state', 'NN'), ('has', 'HV'), ('been', 'BE'), ('overrun', 'VB'), ('with', 'IN'), ('a', 'AT'), ('gang', 'NN'), ('of', 'IN'), ('paid', 'VB'), ('agents', 'NN'), ('and', 'CC'), ('retainers', 'NN'), ('.', '.')]"
94,"[('Another', 'DT'), ('major', 'JJ'), ('church', 'NN'), ('body', 'NN'), ('had', 'HV'), ('4,499,608', 'AT'), ('members', 'NN'), ('and', 'CC'), ('twenty', 'CD'), ('years', 'NN'), ('later', 'RB'), ('its', 'PP'), ('membership', 'NN'), ('stood', 'VB'), ('at', 'IN'), ('4,622,444', 'NN'), ('.', '.')]"
95,"[('He', 'PP'), ('wondered', 'VB'), ('.', '.')]"
97,"[('Yet', 'CC'), ('many', 'AP'), ('psychologists', 'NN'), ('and', 'CC'), ('marriage', 'NN'), ('counselors', 'NN'), ('agree', 'VB'), ('that', 'CS'), ('domination', 'NN'), ('of', 'IN'), ('the', 'AT'), ('sex', 'NN'), ('relationship', 'NN'), ('by', 'IN'), ('one', 'CD'), ('partner', 'NN'), ('or', 'CC'), ('the', 'AT'), ('other', 'AP'), ('can', 'MD'), ('be', 'BE'), ('unhealthy', 'JJ'), ('and', 'CC'), ('even', 'RB'), ('dangerous', 'JJ'), ('.', '.')]"
100,"[('Loomis', 'NP'), ('considers', 'VB'), ('six', 'CD'), ('such', 'JJ'), ('processes', 'NN'), ('in', 'IN'), ('his', 'PP'), ('paradigm', 'NN'), ('.', '.')]"
101,"[('During', 'IN'), ('his', 'PP'), ('presidency', 'NN'), (',', ','), ('the', 'AT'), (""company's"", 'NN'), ('physical', 'JJ'), ('plant', 'NN'), ('was', 'BE'), ('enormously', 'RB'), ('expanded', 'VB'), (',', ','), ('and', 'CC'), ('the', 'AT'), ('length', 'NN'), ('and', 'CC'), ('breadth', 'NN'), ('of', 'IN'), ('the', 'AT'), ('Brown', 'NP'), ('&', 'CC'), ('Sharpe', 'NP'), ('machine', 'NN'), ('tool', 'NN'), ('line', 'NN'), ('became', 'VB'), ('the', 'AT'), ('greatest', 'JJ'), ('in', 'IN'), ('the', 'AT'), ('world', 'NN'), ('.', '.')]"
105,"[('Now', 'RB'), ('big', 'JJ'), ('forces', 'NN'), ('buffet', 'NN'), ('food', 'NN'), ('.', '.')]"
107,"[('That', 'DT'), ('courtyard', 'NN'), ('picture', 'NN'), ('with', 'IN'), ('the', 'AT'), ('same', 'AP'), ('initials', 'NN'), (""''"", ""''""), ('.', '.')]"
109,"[('As', 'CS'), ('a', 'AT'), ('composer', 'NN'), ('.', '.')]"
112,"[('Rousseau', 'NP'), ('agreed', 'VB'), ('.', '.')]"
114,"[('Demagogues', 'NN'), ('of', 'IN'), ('this', 'DT'), ('sort', 'NN'), ('found', 'VB'), ('communist', 'NN'), ('bogeys', 'NN'), ('lurking', 'VB'), ('behind', 'IN'), ('any', 'DT'), ('new', 'JJ'), ('idea', 'NN'), ('that', 'WP'), ('would', 'MD'), ('run', 'VB'), ('counter', 'NN'), ('to', 'TO'), ('stereotyped', 'VB'), ('notions', 'NN'), ('.', '.')]"
115,"[('They', 'PP'), ('surged', 'VB'), ('around', 'IN'), ('him', 'PP'), (',', ','), ('fingers', 'NN'), ('pointing', 'VB'), (',', ','), ('eyes', 'NN'), ('prying', '.'), ('.', '.')]"
117,"[('Robinson', 'NP'), ('clambered', 'VB'), ('heavily', 'RB'), ('into', 'IN'), ('the', 'AT'), ('boat', 'NN'), (',', ','), ('sat', 'VB'), ('down', 'RP'), (',', ','), ('and', 'CC'), ('stripped', 'VB'), ('off', 'IN'), ('his', 'PP'), ('triple-tank', 'JJ'), ('assembly', 'NN'), ('.', '.')]"
118,"[('--', '--'), ('In', 'IN'), ('studying', 'VB'), ('the', 'AT'), ('liquid', 'JJ'), ('phase', 'NN'), ('thermal', 'JJ'), ('reaction', 'NN'), (',', ','), ('some', 'DT'), ('70', 'CD'), ('tubes', 'NN'), ('from', 'IN'), ('12', 'CD'), ('different', 'JJ'), ('manifold', 'NN'), ('fillings', 'NN'), ('were', 'BE'), ('prepared', 'VB'), ('and', 'CC'), ('analyzed', 'VB'), ('.', '.')]"
119,"[('I', 'PP'), ('knew', 'VB'), ('better', 'RB'), ('.', '.')]"
122,"[('Among', 'IN'), ('the', 'AT'), ('most', 'QL'), ('frequently', 'RB'), ('quoted', 'VB'), ('Biblical', 'JJ'), ('sentences', 'NN'), ('are', 'BE'), ('the', 'AT'), ('Beatitudes', 'NN'), ('and', 'CC'), ('yet', 'RB'), ('so', 'QL'), ('few', 'AP'), ('persons', 'NN'), (',', ','), ('other', 'AP'), ('than', 'IN'), ('scholars', 'NN'), (',', ','), ('really', 'RB'), ('understand', 'VB'), ('the', 'AT'), ('true', 'JJ'), ('meaning', 'NN'), ('of', 'IN'), ('these', 'DT'), ('eight', 'CD'), ('blessings', 'NN'), ('uttered', 'VB'), ('by', 'IN'), ('Jesus', 'NP'), ('at', 'IN'), ('the', 'AT'), ('beginning', 'NN'), ('of', 'IN'), ('the', 'AT'), ('Sermon', 'NN'), ('on', 'IN'), ('the', 'AT'), ('Mount', 'NN'), ('.', '.')]"
124,"[('When', 'WR'), ('the', 'AT'), ('shaken', 'VB'), ('Palmer', 'NP'), ('finally', 'RB'), ('did', 'DO'), ('hit', 'VB'), ('his', 'PP'), ('fourth', 'OD'), ('shot', 'NN'), (',', ','), ('he', 'PP'), ('overshot', 'VB'), ('the', 'AT'), ('hole', 'NN'), ('by', 'IN'), ('15', 'CD'), ('feet', 'NN'), ('.', '.')]"
133,"[('Wexler', 'NP'), ('admitted', 'VB'), ('in', 'IN'), ('earlier', 'JJ'), ('court', 'NN'), ('hearings', 'NN'), ('that', 'CS'), ('he', 'PP'), ('issued', 'VB'), ('grand', 'JJ'), ('jury', 'NN'), ('subpenas', 'NN'), ('to', 'IN'), ('about', 'IN'), ('200', 'CD'), ('persons', 'NN'), ('involved', 'VB'), ('in', 'IN'), ('the', 'AT'), ('election', 'NN'), ('investigation', 'NN'), (',', ','), ('questioned', 'VB'), ('the', 'AT'), ('individuals', 'NN'), ('in', 'IN'), ('the', 'AT'), ('Criminal', 'JJ'), ('courts', 'NN'), ('building', 'NN'), (',', ','), ('but', 'CC'), ('did', 'DO'), ('not', '*'), ('take', 'VB'), ('them', 'PP'), ('before', 'IN'), ('the', 'AT'), ('grand', 'JJ'), ('jury', 'NN'), ('.', '.')]"
135,"[('Too', 'QL'), ('light', 'JJ'), ('a', 'AT'), ('feed', 'NN'), (',', ','), ('particularly', 'RB'), ('with', 'IN'), ('metal', 'NN'), ('or', 'CC'), ('other', 'AP'), ('hard', 'JJ'), ('material', 'NN'), (',', ','), ('causes', 'VB'), ('overheating', 'NN'), ('of', 'IN'), ('the', 'AT'), ('tool', 'NN'), ('and', 'CC'), ('burning', 'VB'), ('of', 'IN'), ('the', 'AT'), ('cutting', 'NN'), ('edge', 'NN'), ('.', '.')]"
136,"[('He', 'PP'), ('moved', 'VB'), ('forward', 'RB'), ('to', 'IN'), ('within', 'IN'), ('thirty-five', 'CD'), ('feet', 'NN'), ('of', 'IN'), ('her', 'PP'), (',', ','), ('being', 'BE'), ('careful', 'JJ'), (',', ','), ('because', 'CS'), ('he', 'PP'), ('knew', 'VB'), ('the', 'AT'), ('female', 'NN'), ('is', 'BE'), ('less', 'QL'), ('predictable', 'JJ'), ('than', 'IN'), ('the', 'AT'), ('male', 'NN'), ('.', '.')]"
140,"[('A', 'AT'), ('biographer', 'NN'), ('called', 'VB'), ('him', 'PP'), ('``', '``'), ('the', 'AT'), ('premature', 'JJ'), ('John', 'NP'), ('the', 'AT'), ('Baptist', 'NP'), ('of', 'IN'), ('New', 'JJ'), ('England', 'NP'), ('Transcendentalism', 'NN'), (""''"", ""''""), ('.', '.')]"
143,"[('If', 'CS'), ('the', 'AT'), ('above', 'JJ'), ('issue', 'NN'), ('is', 'BE'), ('settled', 'VB'), ('by', 'IN'), ('requiring', 'VB'), ('public', 'JJ'), ('education', 'NN'), ('for', 'IN'), ('all', 'AB'), ('citizens', 'NN'), (',', ','), ('Issue', 'NN'), ('No.', 'NN'), ('6', 'CD'), ('may', 'MD'), ('be', 'BE'), ('moot', 'VB'), ('.', '.')]"
144,"[('The', 'AT'), ('Secretary', 'NN'), ('of', 'IN'), ('the', 'AT'), ('Interior', 'NN'), ('or', 'CC'), ('any', 'DT'), ('duly', 'RB'), ('authorized', 'VB'), ('representative', 'NN'), ('shall', 'MD'), ('be', 'BE'), ('entitled', 'VB'), ('to', 'IN'), ('admission', 'NN'), ('to', 'IN'), (',', ','), ('and', 'CC'), ('to', 'TO'), ('require', 'VB'), ('reports', 'NN'), ('from', 'IN'), ('the', 'AT'), ('operator', 'NN'), ('of', 'IN'), (',', ','), ('any', 'DT'), ('metal', 'NN'), ('or', 'CC'), ('nonmetallic', 'JJ'), ('mine', 'NN'), ('which', 'WD'), ('is', 'BE'), ('in', 'IN'), ('a', 'AT'), ('State', 'NN'), ('(', '('), ('excluding', 'IN'), ('any', 'DT'), ('coal', 'NN'), ('or', 'CC'), ('lignite', 'NN'), ('mine', 'NN'), (')', ')'), (',', ','), ('the', 'AT'), ('products', 'NN'), ('of', 'IN'), ('which', 'WD'), ('regularly', 'RB'), ('enter', 'VB'), ('commerce', 'NN'), ('or', 'CC'), ('the', 'AT'), ('operations', 'NN'), ('of', 'IN'), ('which', 'WD'), ('substantially', 'RB'), ('affect', 'VB'), ('commerce', 'NN'), (',', ','), ('for', 'IN'), ('the', 'AT'), ('purpose', 'NN'), ('of', 'IN'), ('gathering', 'NN'), ('data', 'NN'), ('and', 'CC'), ('information', 'NN'), ('necessary', 'JJ'), ('for', 'IN'), ('the', 'AT'), ('study', 'NN'), ('authorized', 'VB'), ('in', 'IN'), ('the', 'AT'), ('first', 'OD'), ('section', 'NN'), ('of', 'IN'), ('this', 'DT'), ('Act', 'NN'), ('.', '.')]"
145,"[('For', 'IN'), ('the', 'AT'), ('hero', 'NN'), ('of', 'IN'), ('this', 'DT'), ('work', 'NN'), ('by', 'IN'), ('John', 'NP'), ('Osborne', 'NP'), ('and', 'CC'), ('Anthony', 'NP'), ('Creighton', 'NP'), ('is', 'BE'), ('a', 'AT'), ('chap', 'NN'), ('embittered', 'NN'), ('by', 'IN'), ('more', 'AP'), ('than', 'IN'), ('the', 'AT'), ('lack', 'NN'), ('of', 'IN'), ('beer', 'NN'), ('during', 'IN'), ('a', 'AT'), ('jam', 'NN'), ('session', 'NN'), ('.', '.')]"
147,"[('When', 'WR'), ('the', 'AT'), ('stock', 'NN'), ('exchange', 'NN'), ('opened', 'VB'), ('this', 'DT'), ('morning', 'NN'), (',', ','), ('many', 'AP'), ('dealers', 'NN'), ('were', 'BE'), ('quick', 'JJ'), ('to', 'IN'), ('purchase', 'NN'), ('shares', 'NN'), ('in', 'IN'), ('Douglas', 'NP'), (',', ','), ('Lockheed', 'NP'), ('and', 'CC'), ('United', 'VB'), ('Aircraft', 'NN'), ('and', 'CC'), ('prices', 'NN'), ('rose', 'VB'), ('substantially', 'RB'), ('.', '.')]"
151,"[('Hair', 'NN'), ('like', 'CS'), ('a', 'AT'), ('morning-frightened', 'NN'), (""sparrow's"", 'IN'), ('wings', 'NN'), (',', ','), ('with', 'IN'), ('the', 'AT'), ('sun', 'NN'), ('shining', 'VB'), ('down', 'RP'), ('over', 'IN'), ('them', 'PP'), ('.', '.')]"
158,"[('It', 'PP'), ('was', 'BE'), ('his', 'PP'), ('only', 'RB'), ('sanctuary', 'NN'), ('.', '.')]"
160,"[('The', 'AT'), ('present', 'JJ'), ('Republican', 'JJ'), ('leadership', 'NN'), ('as', 'CS'), ('practiced', 'VB'), ('by', 'IN'), ('Mundt', 'NN'), (',', ','), ('Goldwater', 'NP'), (',', ','), ('Bridges', 'NN'), (',', ','), ('Dirksen', 'NP'), (',', ','), ('et', 'FW'), ('al', 'FW'), (',', ','), ('is', 'BE'), ('repeating', 'VB'), ('the', 'AT'), ('errors', 'NN'), ('of', 'IN'), ('the', 'AT'), ('party', 'NN'), ('leadership', 'NN'), ('of', 'IN'), ('the', 'AT'), ('1930s', 'NN'), ('.', '.')]"
161,"[('Magazine', 'NN'), ('advertising', 'NN'), ('included', 'VB'), ('Management', 'NN'), ('Methods', 'NN'), (',', ','), ('The', 'AT'), ('New', 'JJ'), ('Englander', 'NP'), (',', ','), ('U.', 'NP'), ('S.', 'NP'), ('Investor', 'NP'), (',', ','), ('and', 'CC'), ('Plant', 'NN'), ('Location', 'NN'), ('.', '.')]"
162,"[('The', 'AT'), ('white', 'JJ'), ('people', 'NN'), ('fall', 'VB'), ('back', 'RB'), ('bitterly', 'RB'), ('before', 'IN'), ('the', 'AT'), ('black', 'JJ'), ('horde', 'NN'), (';', '.'), (';', '.')]"
