id,tagged_sentence
50,"[('One', 'CD'), ('had', 'VB'), ('it', 'PP'), ('that', 'CS'), ('a', 'AT'), ('friend', 'NN'), (',', ','), ('protesting', 'VB'), ('her', 'PP'), ('snobbery', 'NN'), (',', ','), ('said', 'VB'), (',', ','), ('``', '``'), ('But', 'CC'), (',', ','), ('Gracie', 'NN'), (',', ','), ('you', 'PP'), ('are', 'BE'), ('an', 'AT'), ('American', 'JJ'), (',', ','), (""aren't"", 'BE'), ('you', 'PP'), (""''"", ""''""), ('?', '.'), ('?', '.')]"
52,"[('She', 'PP'), ('was', 'BE'), ('then', 'RB'), ('trained', 'VB'), ('on', 'IN'), ('the', 'AT'), ('trot', 'NN'), ('until', 'IN'), ('December', 'NP'), ('29', 'NN'), (',', ','), ('hitched', 'VB'), ('to', 'IN'), ('a', 'AT'), ('breaking', 'VB'), ('cart', 'IN'), ('once', 'RB'), ('around', 'IN'), ('the', 'AT'), ('half-mile', 'NN'), ('track', 'NN'), ('and', 'CC'), ('hoppled', 'VB'), ('again', 'RB'), ('.', '.')]"
56,"[('But', 'CC'), ('Mr.', 'NP'), ('Buckley', 'PP'), ('seems', 'VB'), ('to', 'TO'), ('have', 'HV'), ('assumed', 'VB'), ('he', 'PP'), ('would', 'MD'), ('be', 'BE'), ('given', 'VB'), ('the', 'AT'), ('right', 'NN'), ('to', 'TO'), ('pick', 'VB'), ('Mr.', 'NP'), (""Gerosa's"", 'AT'), ('successor', 'NN'), ('.', '.')]"
58,"[('``', '``'), ('Pedersen', 'NN'), (""''"", ""''""), ('?', '.'), ('?', '.')]"
60,"[('Will', 'MD'), ('your', 'PP'), ('union', 'TO'), ('accept', 'VB'), ('seniority', 'JJ'), ('concessions', 'NN'), ('in', 'IN'), ('assigning', 'VB'), ('work', 'NN'), ('for', 'IN'), ('older', 'JJ'), ('or', 'CC'), ('disabled', 'VB'), ('employees', 'NN'), ('?', '.'), ('?', '.')]"
61,"[('Erected', 'NN'), ('on', 'IN'), ('the', 'AT'), ('site', 'NN'), ('of', 'IN'), ('pagan', 'JJ'), ('temples', 'NN'), ('and', 'CC'), ('three', 'CD'), ('previous', 'IN'), ('St.', 'NN'), ('Sophias', 'NN'), (',', ','), ('the', 'AT'), ('first', 'OD'), ('of', 'IN'), ('which', 'WD'), ('was', 'BE'), ('begun', 'VB'), ('by', 'IN'), ('Constantine', 'NN'), (',', ','), ('this', 'DT'), ('fourth', 'AT'), ('church', 'NN'), ('was', 'BE'), ('started', 'VB'), ('by', 'IN'), ('Justinian', 'NN'), ('in', 'IN'), ('532', 'NN'), ('and', 'CC'), ('completed', 'IN'), ('twenty', 'CD'), ('years', 'NN'), ('later', 'RB'), ('.', '.')]"
65,"[('We', 'PP'), ('have', 'HV'), ('consoled', 'VB'), ('ourselves', 'PP'), ('with', 'IN'), ('the', 'AT'), ('thought', 'NN'), ('that', 'CS'), ('this', 'DT'), ('is', 'BE'), ('a', 'AT'), ('normal', 'JJ'), ('human', 'JJ'), ('reaction', 'NN'), ('and', 'CC'), ('is', 'BE'), ('one', 'CD'), ('of', 'IN'), ('the', 'AT'), ('consequences', 'NN'), ('of', 'IN'), ('any', 'DT'), ('decision', 'NN'), ('in', 'IN'), ('an', 'AT'), ('adversary', 'NN'), ('proceeding', 'NN'), ('.', '.')]"
68,"[('Wound-tumor', 'NN'), ('virus', 'NN'), ('is', 'BE'), ('a', 'AT'), ('leafhopper', 'BE'), ('transmitted', 'VB'), ('virus', 'BE'), ('not', '*'), ('easily', 'RB'), ('transmissible', 'VB'), ('by', 'IN'), ('mechanical', 'JJ'), ('inoculation', 'NN'), ('(', '('), ('Black', 'NN'), (',', ','), ('1944', '.'), (';', '.'), (';', '.')]"
69,"[('The', 'AT'), ('structure', 'NN'), ('appears', 'VB'), ('to', 'TO'), ('be', 'BE'), ('unique', 'JJ'), ('among', 'IN'), ('OOH', 'JJ'), ('compounds', 'NN'), (',', ','), ('but', 'CC'), ('is', 'BE'), ('the', 'AT'), ('same', 'AP'), ('as', 'CS'), ('that', 'DT'), ('assumed', 'VB'), ('by', 'IN'), ('Af', 'NN'), ('.', '.')]"
70,"[('Production', 'NN'), ('must', 'MD'), ('be', 'BE'), ('adjusted', 'VB'), ('accordingly', 'NN'), (',', ','), ('at', 'IN'), ('minimum', 'JJ'), ('cost', 'NN'), ('and', 'CC'), ('quickly', 'NN'), ('.', '.')]"
71,"[('In', 'IN'), ('the', 'AT'), ('winter', 'NN'), (',', ','), ('hibachi', 'NN'), ('in', 'IN'), ('the', 'AT'), ('kitchen', 'NN'), ('or', 'CC'), ('grill', 'NN'), ('over', 'IN'), ('the', 'AT'), ('logs', 'NN'), ('of', 'IN'), ('the', 'AT'), ('fireplace', 'NN'), ('.', '.')]"
72,"[('These', 'DT'), ('have', 'HV'), ('an', 'AT'), ('upper-middle-class', 'JJ'), ('leadership', 'NN'), ('and', 'CC'), ('a', 'AT'), ('middle-class', 'IN'), ('membership', 'NN'), (',', ','), ('with', 'IN'), ('rare', 'JJ'), ('exceptions', 'NN'), (',', ','), ('where', 'WR'), ('working-class', 'PP'), ('parents', 'NN'), ('are', 'BE'), ('active', 'NN'), ('in', 'IN'), ('local', 'JJ'), ('P.-T.A.', 'JJ'), ('matters', 'NN'), ('.', '.')]"
77,"[('Her', 'PP'), ('little', 'JJ'), ('brown', 'JJ'), ('face', 'NN'), ('wrinkled', 'VB'), ('up', 'RP'), (',', ','), ('her', 'PP'), ('brown', 'JJ'), ('eyes', 'NN'), ('gleamed', 'NN'), (',', ','), ('and', 'CC'), ('with', 'IN'), ('her', 'PP'), ('little', 'JJ'), ('gestures', 'NN'), ('she', 'PP'), ('said', 'VB'), ('all', 'AB'), ('the', 'AT'), ('courteous', 'JJ'), ('things', 'NN'), ('.', '.')]"
78,"[('But', 'CC'), ('further', 'PP'), ('thought', 'VB'), ('brings', 'IN'), ('the', 'AT'), ('shuddery', 'IN'), ('visions', 'NN'), ('of', 'IN'), ('a', 'AT'), (""governor's"", 'NN'), ('race', 'NN'), ('being', 'BE'), ('run', 'VB'), ('in', 'IN'), ('the', 'AT'), ('next', 'AP'), ('Legislature', 'NN'), (',', ','), ('the', 'AT'), ('spectre', 'NN'), ('of', 'IN'), ('big', 'JJ'), ('spending', 'NN'), ('programs', 'NN'), (',', ','), ('the', 'AT'), ('ooze', 'NN'), ('of', 'IN'), ('mudslinging', 'NN'), ('before', 'IN'), ('the', 'AT'), ('campaign', 'NN'), ('should', 'MD'), ('even', 'RB'), ('begin', 'VB'), ('.', '.')]"
79,"[('that', 'CS'), ('there', 'EX'), ('were', 'BE'), ('three', 'CD'), ('children', 'NN'), (',', ','), ('two', 'CD'), ('boys', 'NN'), ('and', 'CC'), ('a', 'AT'), ('girl', 'NN'), (';', '.'), (';', '.')]"
80,"[('Their', 'PP'), ('seeds', 'TO'), ('produce', 'VB'), ('vigorous', 'BE'), ('blooming', 'VB'), ('plants', 'NN'), ('half', 'AB'), ('again', 'IN'), ('the', 'AT'), ('size', 'NN'), ('of', 'IN'), ('the', 'AT'), ('unimproved', 'JJ'), ('strains', 'NN'), ('.', '.')]"
82,"[('Roads', 'NN'), ('and', 'CC'), ('trails', 'NN')]"
84,"[('Hell', 'NN'), (',', ','), ('I', 'PP'), ('gave', 'VB'), ('him', 'PP'), ('the', 'AT'), ('first', 'OD'), ('decent', 'AT'), ('job', 'NN'), ('he', 'PP'), ('ever', 'RB'), ('had', 'NN'), (',', ','), ('six', 'NN'), (',', ','), ('seven', 'NN'), ('--', '--'), ('how', 'IN'), ('many', 'AP'), ('years', 'NN'), ('ago', 'RB'), ('was', 'BE'), ('it', 'PP'), (',', ','), ('Rob', 'NN'), (""''"", ""''""), ('?', '.'), ('?', '.')]"
85,"[('Alaska', 'NP'), ('and', 'CC'), ('Hawaii', 'NP'), ('.', '.')]"
86,"[('He', 'PP'), ('fisted', 'IN'), ('the', 'AT'), ('knife', 'NN'), ('overhand', 'NN'), (',', ','), ('and', 'CC'), ('drew', 'VB'), ('back', 'RB'), ('to', 'IN'), ('plunge', 'VB'), ('it', 'PP'), ('into', 'IN'), ('the', 'AT'), (""kid's"", 'PP'), ('throat', 'NN'), ('.', '.')]"
90,"[('It', 'PP'), ('was', 'BE'), (',', ','), ('to', 'TO'), ('Helva', 'NN'), (',', ','), ('only', 'RB'), ('a', 'AT'), ('matter', 'NN'), ('of', 'IN'), ('the', 'AT'), ('correct', 'JJ'), ('reproduction', 'NN'), ('and', 'CC'), ('diaphragmic', 'JJ'), ('control', 'NN'), ('required', 'VB'), ('by', 'IN'), ('the', 'AT'), ('music', 'NN'), ('attempted', 'NN'), ('.', '.')]"
91,"[('Our', 'PP'), ('state', 'NN'), ('has', 'HV'), ('been', 'BE'), ('overrun', 'VB'), ('with', 'IN'), ('a', 'AT'), ('gang', 'NN'), ('of', 'IN'), ('paid', 'VB'), ('agents', 'NN'), ('and', 'CC'), ('retainers', 'NN'), ('.', '.')]"
94,"[('Another', 'DT'), ('major', 'JJ'), ('church', 'NN'), ('body', 'NN'), ('had', 'HV'), ('4,499,608', 'JJ'), ('members', 'NN'), ('and', 'CC'), ('twenty', 'CD'), ('years', 'NN'), ('later', 'RB'), ('its', 'PP'), ('membership', 'NN'), ('stood', 'VB'), ('at', 'IN'), ('4,622,444', 'NN'), ('.', '.')]"
95,"[('He', 'PP'), ('wondered', 'VB'), ('.', '.')]"
97,"[('Yet', 'CC'), ('many', 'AP'), ('psychologists', 'NN'), ('and', 'CC'), ('marriage', 'NN'), ('counselors', 'NN'), ('agree', 'VB'), ('that', 'CS'), ('domination', 'NN'), ('of', 'IN'), ('the', 'AT'), ('sex', 'NN'), ('relationship', 'NN'), ('by', 'IN'), ('one', 'CD'), ('partner', 'NN'), ('or', 'CC'), ('the', 'AT'), ('other', 'AP'), ('can', 'MD'), ('be', 'BE'), ('unhealthy', 'NN'), ('and', 'CC'), ('even', 'RB'), ('dangerous', 'NN'), ('.', '.')]"
100,"[('Loomis', 'NP'), ('considers', 'IN'), ('six', 'CD'), ('such', 'JJ'), ('processes', 'NN'), ('in', 'IN'), ('his', 'PP'), ('paradigm', 'NN'), ('.', '.')]"
101,"[('During', 'IN'), ('his', 'PP'), ('presidency', 'NN'), (',', ','), ('the', 'AT'), (""company's"", 'AT'), ('physical', 'JJ'), ('plant', 'NN'), ('was', 'BE'), ('enormously', 'QL'), ('expanded', 'NN'), (',', ','), ('and', 'CC'), ('the', 'AT'), ('length', 'NN'), ('and', 'CC'), ('breadth', 'NN'), ('of', 'IN'), ('the', 'AT'), ('Brown', 'NP'), ('&', 'CC'), ('Sharpe', 'NP'), ('machine', 'NN'), ('tool', 'NN'), ('line', 'NN'), ('became', 'VB'), ('the', 'AT'), ('greatest', 'JJ'), ('in', 'IN'), ('the', 'AT'), ('world', 'NN'), ('.', '.')]"
105,"[('Now', 'RB'), ('big', 'JJ'), ('forces', 'NN'), ('buffet', 'IN'), ('food', 'NN'), ('.', '.')]"
107,"[('That', 'DT'), ('courtyard', 'AT'), ('picture', 'NN'), ('with', 'IN'), ('the', 'AT'), ('same', 'AP'), ('initials', 'NN'), (""''"", ""''""), ('.', '.')]"
109,"[('As', 'CS'), ('a', 'AT'), ('composer', 'NN'), ('.', '.')]"
112,"[('Rousseau', 'NP'), ('agreed', 'VB'), ('.', '.')]"
114,"[('Demagogues', 'NN'), ('of', 'IN'), ('this', 'DT'), ('sort', 'NN'), ('found', 'VB'), ('communist', 'JJ'), ('bogeys', 'NN'), ('lurking', 'VB'), ('behind', 'IN'), ('any', 'DT'), ('new', 'JJ'), ('idea', 'NN'), ('that', 'WP'), ('would', 'MD'), ('run', 'VB'), ('counter', 'NN'), ('to', 'TO'), ('stereotyped', 'JJ'), ('notions', 'NN'), ('.', '.')]"
115,"[('They', 'PP'), ('surged', 'VB'), ('around', 'IN'), ('him', 'PP'), (',', ','), ('fingers', 'NN'), ('pointing', 'NN'), (',', ','), ('eyes', 'NN'), ('prying', 'NN'), ('.', '.')]"
117,"[('Robinson', 'NP'), ('clambered', 'VB'), ('heavily', 'RB'), ('into', 'IN'), ('the', 'AT'), ('boat', 'NN'), (',', ','), ('sat', 'VB'), ('down', 'RP'), (',', ','), ('and', 'CC'), ('stripped', 'VB'), ('off', 'IN'), ('his', 'PP'), ('triple-tank', 'NN'), ('assembly', 'NN'), ('.', '.')]"
118,"[('--', '--'), ('In', 'IN'), ('studying', 'VB'), ('the', 'AT'), ('liquid', 'JJ'), ('phase', 'NN'), ('thermal', 'AT'), ('reaction', 'NN'), (',', ','), ('some', 'DT'), ('70', 'NN'), ('tubes', 'NN'), ('from', 'IN'), ('12', 'CD'), ('different', 'JJ'), ('manifold', 'NN'), ('fillings', 'NN'), ('were', 'BE'), ('prepared', 'VB'), ('and', 'CC'), ('analyzed', 'NN'), ('.', '.')]"
119,"[('I', 'PP'), ('knew', 'VB'), ('better', 'RB'), ('.', '.')]"
122,"[('Among', 'IN'), ('the', 'AT'), ('most', 'QL'), ('frequently', 'RB'), ('quoted', 'VB'), ('Biblical', 'AP'), ('sentences', 'NN'), ('are', 'BE'), ('the', 'AT'), ('Beatitudes', 'NN'), ('and', 'CC'), ('yet', 'RB'), ('so', 'QL'), ('few', 'AP'), ('persons', 'NN'), (',', ','), ('other', 'AP'), ('than', 'IN'), ('scholars', 'NN'), (',', ','), ('really', 'RB'), ('understand', 'VB'), ('the', 'AT'), ('true', 'JJ'), ('meaning', 'NN'), ('of', 'IN'), ('these', 'DT'), ('eight', 'AT'), ('blessings', 'NN'), ('uttered', 'VB'), ('by', 'IN'), ('Jesus', 'NP'), ('at', 'IN'), ('the', 'AT'), ('beginning', 'NN'), ('of', 'IN'), ('the', 'AT'), ('Sermon', 'NN'), ('on', 'IN'), ('the', 'AT'), ('Mount', 'NN'), ('.', '.')]"
124,"[('When', 'WR'), ('the', 'AT'), ('shaken', 'NP'), ('Palmer', 'NP'), ('finally', 'RB'), ('did', 'DO'), ('hit', 'VB'), ('his', 'PP'), ('fourth', 'OD'), ('shot', 'NN'), (',', ','), ('he', 'PP'), ('overshot', 'IN'), ('the', 'AT'), ('hole', 'NN'), ('by', 'IN'), ('15', 'CD'), ('feet', 'NN'), ('.', '.')]"
133,"[('Wexler', 'NP'), ('admitted', 'VB'), ('in', 'IN'), ('earlier', 'JJ'), ('court', 'NN'), ('hearings', 'VB'), ('that', 'CS'), ('he', 'PP'), ('issued', 'AT'), ('grand', 'JJ'), ('jury', 'NN'), ('subpenas', 'VB'), ('to', 'IN'), ('about', 'RB'), ('200', 'CD'), ('persons', 'NN'), ('involved', 'VB'), ('in', 'IN'), ('the', 'AT'), ('election', 'NN'), ('investigation', 'NN'), (',', ','), ('questioned', 'IN'), ('the', 'AT'), ('individuals', 'NN'), ('in', 'IN'), ('the', 'AT'), ('Criminal', 'JJ'), ('courts', 'NN'), ('building', 'NN'), (',', ','), ('but', 'CC'), ('did', 'DO'), ('not', '*'), ('take', 'VB'), ('them', 'PP'), ('before', 'IN'), ('the', 'AT'), ('grand', 'JJ'), ('jury', 'NN'), ('.', '.')]"
135,"[('Too', 'QL'), ('light', 'IN'), ('a', 'AT'), ('feed', 'NN'), (',', ','), ('particularly', 'RB'), ('with', 'IN'), ('metal', 'NN'), ('or', 'CC'), ('other', 'AP'), ('hard', 'JJ'), ('material', 'NN'), (',', ','), ('causes', 'VB'), ('overheating', 'NN'), ('of', 'IN'), ('the', 'AT'), ('tool', 'NN'), ('and', 'CC'), ('burning', 'NN'), ('of', 'IN'), ('the', 'AT'), ('cutting', 'VB'), ('edge', 'NN'), ('.', '.')]"
136,"[('He', 'PP'), ('moved', 'VB'), ('forward', 'RB'), ('to', 'IN'), ('within', 'RB'), ('thirty-five', 'CD'), ('feet', 'NN'), ('of', 'IN'), ('her', 'PP'), (',', ','), ('being', 'BE'), ('careful', 'JJ'), (',', ','), ('because', 'CS'), ('he', 'PP'), ('knew', 'VB'), ('the', 'AT'), ('female', 'NN'), ('is', 'BE'), ('less', 'QL'), ('predictable', 'AP'), ('than', 'IN'), ('the', 'AT'), ('male', 'NN'), ('.', '.')]"
140,"[('A', 'AT'), ('biographer', 'BE'), ('called', 'VB'), ('him', 'PP'), ('``', 'IN'), ('the', 'AT'), ('premature', 'JJ'), ('John', 'IN'), ('the', 'AT'), ('Baptist', 'NN'), ('of', 'IN'), ('New', 'JJ'), ('England', 'NP'), ('Transcendentalism', 'NN'), (""''"", ""''""), ('.', '.')]"
143,"[('If', 'CS'), ('the', 'AT'), ('above', 'JJ'), ('issue', 'NN'), ('is', 'BE'), ('settled', 'VB'), ('by', 'IN'), ('requiring', 'AT'), ('public', 'JJ'), ('education', 'NN'), ('for', 'IN'), ('all', 'AB'), ('citizens', 'NN'), (',', ','), ('Issue', 'NN'), ('No.', 'NN'), ('6', 'NN'), ('may', 'MD'), ('be', 'BE'), ('moot', 'NN'), ('.', '.')]"
144,"[('The', 'AT'), ('Secretary', 'NN'), ('of', 'IN'), ('the', 'AT'), ('Interior', 'NN'), ('or', 'CC'), ('any', 'DT'), ('duly', 'BE'), ('authorized', 'VB'), ('representative', 'PP'), ('shall', 'MD'), ('be', 'BE'), ('entitled', 'VB'), ('to', 'IN'), ('admission', 'NN'), ('to', 'IN'), (',', ','), ('and', 'CC'), ('to', 'TO'), ('require', 'VB'), ('reports', 'NN'), ('from', 'IN'), ('the', 'AT'), ('operator', 'NN'), ('of', 'IN'), (',', ','), ('any', 'DT'), ('metal', 'NN'), ('or', 'CC'), ('nonmetallic', 'JJ'), ('mine', 'NN'), ('which', 'WD'), ('is', 'BE'), ('in', 'IN'), ('a', 'AT'), ('State', 'NN'), ('(', '('), ('excluding', 'IN'), ('any', 'DT'), ('coal', 'NN'), ('or', 'CC'), ('lignite', 'NN'), ('mine', 'NN'), (')', ')'), (',', ','), ('the', 'AT'), ('products', 'NN'), ('of', 'IN'), ('which', 'WD'), ('regularly', 'TO'), ('enter', 'VB'), ('commerce', 'NN'), ('or', 'CC'), ('the', 'AT'), ('operations', 'NN'), ('of', 'IN'), ('which', 'WD'), ('substantially', 'MD'), ('affect', 'VB'), ('commerce', 'NN'), (',', ','), ('for', 'IN'), ('the', 'AT'), ('purpose', 'NN'), ('of', 'IN'), ('gathering', 'JJ'), ('data', 'NN'), ('and', 'CC'), ('information', 'NN'), ('necessary', 'JJ'), ('for', 'IN'), ('the', 'AT'), ('study', 'NN'), ('authorized', 'VB'), ('in', 'IN'), ('the', 'AT'), ('first', 'AT'), ('section', 'AT'), ('of', 'AT'), ('this', 'AT'), ('Act', 'AT'), ('.', 'AT')]"
145,"[('For', 'IN'), ('the', 'AT'), ('hero', 'NN'), ('of', 'IN'), ('this', 'DT'), ('work', 'NN'), ('by', 'IN'), ('John', 'NP'), ('Osborne', 'NN'), ('and', 'CC'), ('Anthony', 'NP'), ('Creighton', 'NN'), ('is', 'BE'), ('a', 'AT'), ('chap', 'AT'), ('embittered', 'VB'), ('by', 'IN'), ('more', 'AP'), ('than', 'IN'), ('the', 'AT'), ('lack', 'NN'), ('of', 'IN'), ('beer', 'NN'), ('during', 'IN'), ('a', 'AT'), ('jam', 'JJ'), ('session', 'NN'), ('.', '.')]"
147,"[('When', 'WR'), ('the', 'AT'), ('stock', 'NN'), ('exchange', 'NN'), ('opened', 'VB'), ('this', 'DT'), ('morning', 'NN'), (',', ','), ('many', 'AP'), ('dealers', 'NN'), ('were', 'BE'), ('quick', 'JJ'), ('to', 'TO'), ('purchase', 'VB'), ('shares', 'NN'), ('in', 'IN'), ('Douglas', 'NN'), (',', ','), ('Lockheed', 'NN'), ('and', 'CC'), ('United', 'VB'), ('Aircraft', 'NN'), ('and', 'CC'), ('prices', 'NN'), ('rose', 'VB'), ('substantially', 'RB'), ('.', '.')]"
151,"[('Hair', 'NN'), ('like', 'CS'), ('a', 'AT'), ('morning-frightened', 'AT'), (""sparrow's"", 'NN'), ('wings', 'NN'), (',', ','), ('with', 'IN'), ('the', 'AT'), ('sun', 'NN'), ('shining', 'VB'), ('down', 'RP'), ('over', 'IN'), ('them', 'PP'), ('.', '.')]"
158,"[('It', 'PP'), ('was', 'BE'), ('his', 'PP'), ('only', 'RB'), ('sanctuary', 'NN'), ('.', '.')]"
160,"[('The', 'AT'), ('present', 'JJ'), ('Republican', 'JJ'), ('leadership', 'NN'), ('as', 'CS'), ('practiced', 'VB'), ('by', 'IN'), ('Mundt', 'NN'), (',', ','), ('Goldwater', 'NN'), (',', ','), ('Bridges', 'NN'), (',', ','), ('Dirksen', 'NN'), (',', ','), ('et', 'FW'), ('al', 'NN'), (',', ','), ('is', 'BE'), ('repeating', 'IN'), ('the', 'AT'), ('errors', 'NN'), ('of', 'IN'), ('the', 'AT'), ('party', 'NN'), ('leadership', 'NN'), ('of', 'IN'), ('the', 'AT'), ('1930s', 'NN'), ('.', '.')]"
161,"[('Magazine', 'NN'), ('advertising', 'NN'), ('included', 'VB'), ('Management', 'IN'), ('Methods', 'NN'), (',', ','), ('The', 'AT'), ('New', 'JJ'), ('Englander', 'NN'), (',', ','), ('U.', 'NP'), ('S.', 'NP'), ('Investor', 'NN'), (',', ','), ('and', 'CC'), ('Plant', 'RN'), ('Location', 'NN'), ('.', '.')]"
162,"[('The', 'AT'), ('white', 'JJ'), ('people', 'NN'), ('fall', 'VB'), ('back', 'RB'), ('bitterly', 'NN'), ('before', 'IN'), ('the', 'AT'), ('black', 'JJ'), ('horde', 'NN'), (';', '.'), (';', '.')]"
